Code,Description,Default_Translation (en-en),Target_Translation (lv-lv),Has_Translation
I18N_WARNING_MESSAGE_CONTEXT,Warning message on context Update Modal,"By editing the Context Type, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.","Rediģējot konteksta veidu, jūs varat sabojāt sistēmas atļauju funkcionalitāti.",Yes
I18N_WARNING_MESSAGE_COUNTRY_GOAL,I18NCode for Warning Message Country GOAL,"You are editing country objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Jūs rediģējat valsts mērķus, aprēķini ir atspējoti. Pirms turpināt, pārliecinieties, ka esat pārliecināts.",Yes
I18N_WARNING_MESSAGE_DIRECTOR_GOAL,I18NCode for Warning Message on Modal Update Director goal menu,"You are editing director objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Jūs rediģējat direktora mērķus, aprēķini ir atspējoti. Pirms turpināt, pārliecinieties, ka esat pārliecināts.",Yes
I18N_WARNING_MESSAGE_EDIT_TEAM,I18NCode for Warning Message Edit Team,"You are editing a team, make sure you are absolutely sure before proceeding.","Jūs rediģējat komandu. Pirms turpināt, pārliecinieties, ka esat pārliecināts.",Yes
I18N_WARNING_MESSAGE_GROUP_MECHANISMS,I18NCode for Warning Message in Group Mechanisms Update Modal,"You are editing chapter mechanisms, make sure you are absolutely sure before proceeding.","Jūs rediģējat nodaļu mehānismus, pirms turpināt, pārliecinieties, ka esat pārliecināts.",Yes
I18N_WARNING_MESSAGE_LANGUAGE,Warning message on language Update Modal,"By editing the Language translation, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.","Rediģējot valodas tulkojumu, jūs varat sabojāt sistēmas atļauju funkcionalitāti.",Yes
I18N_WARNING_MESSAGE_MEMBER_MECHANISMS,I18NCode for Warning Message Member Mechanisms,"You are editing member mechanisms, make sure you are absolutely sure before proceeding.","Jūs rediģējat dalībnieku mehānismus. Pirms turpināt, pārliecinieties, ka esat pārliecināts.",Yes
I18N_WARNING_MESSAGE_MENU,I18NCode for Warning Message on Menu,"By editing the permission Menu, you might break the system permissions functionality. Please ensure you're absolutely certain before  proceeding.","Rediģējot atļauju izvēlni, jūs varat sabojāt sistēmas atļauju funkcionalitāti.",Yes
I18N_WARNING_MESSAGE_MODULE,Warning message on module Update Modal	,"By editing the Module Type, you might break the system permissions functionality. Please ensure you're absolutely certain before proceeding.","Rediģējot moduļa tipu, iespējams, tiks pārtraukta sistēmas atļauju funkcionalitāte.",Yes
I18N_WARNING_MESSAGE_MULTI_REGION_GOAL,I18NCode for I18NCode for Warning Message Multi Region GOAL,"You are editing multi region objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Jūs rediģējat vairāku reģionu mērķus, aprēķini ir atspējoti. Pirms turpināt, pārliecinieties, vai esat pilnībā pārliecināts.",Yes
I18N_WARNING_MESSAGE_NO_GAMES,I18NCode for WARNING MESSAGE NO Games,Start by adding a bni game.,Sāciet ar bni spēles pievienošanu.,Yes
I18N_WARNING_MESSAGE_NO_KPI_ON_GAME,I18NCode for Warning Message No Kpi On Game,Start by adding a KPI to a game.,Sāciet ar KPI pievienošanu spēlei.,Yes
I18N_WARNING_MESSAGE_NO_TEAMS,I18NCode for Warning message No Teams,Start by creating Teams for your BNI Game.,"Sāciet, izveidojot komandas savai BNI spēlei.",Yes
I18N_WARNING_MESSAGE_PROFILE,Warning message on Update Modal in Profile Page,"By editing the Context Type, you can break the system's permissions functionality. Make sure you are absolutely sure before proceeding.","Rediģējot konteksta veidu, varat izjaukt sistēmas atļauju funkcionalitāti.",Yes
I18N_WARNING_MESSAGE_REGION_GOAL,I18NCode for Warning message on Modal update region goal menu,"You are editing region objectives, calculations are disabled, make sure you are absolutely sure before proceeding.","Jūs rediģējat reģiona mērķus, aprēķini ir atspējoti. Pirms turpināt, pārliecinieties, ka esat pārliecināts.",Yes
I18N_WARNING_MESSAGE_TRANSLATION,Warning message on translation Update Modal,By editing the translation will update the description for the specific CodeI18N.,"Rediģējot tulkojumu, tiks atjaunināts konkrētā CodeI18N apraksts.",Yes
I18N_WCA_DESCRIPTION,I19NCode for WCA description,"This is a <strong>weekly report</strong> that usually is sent to each <strong>Leadership Team</strong> every Monday 9PM.<br/>

The goal is to give information that President (Chapter Director in England), Vice-President and Secretary/Treasurer usually needs to dig on several BNIConnect reports to run their role.<br/>

With this report, the President can easily select the meeting stimulant or his final words to the meeting.<br/>

The Vice-President can understand who needs special attention and work with his coordinators to improve member performance.<br/>

The Events Coordinator understands who is not attending training and needs special motivational speech to do it.","Šis ir <strong>iknedēļas pārskats</strong>, kas parasti tiek nosūtīts katrai <strong>vadības komandai</strong> katru pirmdienu pulksten 21.00.<br/>",Yes
I18N_WCA_WEEKLY_CHAPTER_ALERT_REPORT,I18NCode for WCA Weekly Chapter Alert Report,WCA - Weekly Chapter Alert Report,WCA — iknedēļas nodaļas brīdinājuma ziņojums,Yes
I18N_WE_NEED_YOU_TO_UPLOAD_A_PHOTO_OF_YOURSELF_,I18NCode for We need you to upload a photo of yourself.,We need you to upload a photo of yourself,"Mums ir nepieciešams, lai jūs augšupielādētu savu fotoattēlu",Yes
I18N_WE_NEED_YOUR_ATTENTION,I18NCode for We need your Attention,We need your attention,Mums ir nepieciešama jūsu uzmanība,Yes
I18N_WEBSITE,I18NCode for website,Website,Tīmekļa vietne,Yes
I18N_WEEK_MEMBER_6AM,I18nCode for /week/member (6m),/week/member (6m),/nedēļa/biedrs (6 m),Yes
I18N_WEEKLY_ALERT_REPORTS_SETTINGS,I18NCode for Weekly Alert Reports Settings,Weekly Alert Reports Settings,Iknedēļas brīdinājumu pārskatu iestatījumi,Yes
I18N_WEEKS,I18NCode for Weeks,Weeks,Nedēļas,Yes
I18N_WELCOME,Welcome message,Welcome,Laipni lūdzam,Yes
I18N_WELCOME_TO_REPORTING2YOU_,I18NCode for Welcome to Reporting2You!,Welcome to Reporting2You,Laipni lūdzam Reporting2You,Yes
I18N_WELCOME_TO_THE_MESSAGING_CHAT,I18NCode for Welcome to the messaging chat,Welcome to the Messaging Chat,Laipni lūdzam ziņojumapmaiņas tērzēšanā,Yes
I18N_WHAT_AREY_OUR_RIGHTS,I18NCode for What are your rights,What are your rights?,Kādas ir jūsu tiesības?,Yes
I18N_WHAT_INFORMATION_DO_WE_COLLECT_ABOUT_YOU,I18NCode for What information do we collect about you,What information do we collect about you?,Kādu informāciju mēs apkopojam par jums?,Yes
I18N_WHAT_IS_A_COOKIE,I18NCode for What is a Cookie,What is a Cookie?,Kas ir sīkfails?,Yes
I18N_WHAT_IS_OUR_LEGAL_BASIS_FOR_PROCESSING_YOUR_PERSONAL_DATA,I18NCode for What is our legal basis for processing your personal data,What is our legal basis for processing your personal data?,Kāds ir mūsu juridiskais pamats jūsu personas datu apstrādei?,Yes
I18N_WHO_ARE_WE,I18NCode for Who are we,Who we are?,Kas mēs esam?,Yes
I18N_WHO_RECEIVES_YOUR_INFORMATION,I18NCode for Who receives your information,Who receives your information?,Kas saņem jūsu informāciju?,Yes
I18N_WITH_LESS_THAN,"I18NCode for ""With Less than""",With Less than,Ar Mazāk nekā,Yes
I18N_WITH_THIS_MEMBERSHIP_LENGTH,I18NCode for With this Membership length,with this membership length,ar šo dalības ilgumu,Yes
I18N_WITHOUT,I18NCode for Without,Without,Bez,Yes
I18N_WITHOUT_PAYMENT,I18NCode for Without Payment,Without Payment,Bez Maksājuma,Yes
I18N_WORLD_RANK,I18NCode for World Rank ,World Rank,Pasaules rangs,Yes
I18N_WRITE_A_MESSAGE,I18NCode for Write a message,Write a message,Uzrakstiet ziņu,Yes
I18N_WRITE_THE_MESSAGE_TO_SEND_TO_EVERYONE,I18NCode for Write the message to send to everyone,Write the message to send to everyone,"Uzrakstiet ziņu, lai nosūtītu visiem",Yes
I18N_WRONG_FILE_SELECTED,I18NCode for Wrong File Selected,Error selecting file.,"Izvēloties failu, radās kļūda.",Yes
I18N_YEAR,I18NCode for Year,Year,gads,Yes
I18N_YEARMONTH,I18NCode for YearMonth,YearMonth,Gads Mēnesis,Yes
I18N_YEARS,I18NCode for Years,Years,Gadiem,Yes
I18N_YES,I18NCode for Yes,Yes,Jā,Yes
I18N_YLW,I18NCode for #Ylw on table label,#Ylw,#Ylw,Yes
I18N_YOU_HAVE_BEEN_INVITED_TO_REGISTER_WITH_REPORTING2YOU_,I18NCode for You have been invited to register with Reporting2You.,You have been invited to register with Reporting2You.,Jūs esat uzaicināts reģistrēties vietnē Reporting2You.,Yes
I18N_YOU_HAVE_NO_SPONSORED,I18NCode for You have no sponsored,You have no sponsored,Jums nav sponsoru,Yes
I18N_YOU_WILL_BE_REDIRECTED_TO_THE_LOGIN_PAGE_IN,I18NCode for You will be redirected to the login page in,You will be redirected to the login page in,Jūs tiksit novirzīts uz pieteikšanās lapu,Yes
I18N_YOUR_CHAPTER,i18NCode for Your Chapter,Your Chapter,Jūsu nodaļa,Yes
I18N_YOUR_GOAL,I18NCode represent % of your goal,% of goal,% no mērķa,Yes
I18N_YOUR_SESSION_WILL_BE_INACTIVE_IN,I18NCode for Your session will be inactive in,Your session will be inactive in,Jūsu sesija būs neaktīva,Yes
I18N_ZERO_ONE_TO_ONES_PER_WEEK,I18NCode for ZeroOneToOne per Week,Zero one to ones per week,Nulle no viena līdz vieniem nedēļā,Yes
I18N_ZERO_REFERRALS,I18NCode for Zero Referrals,Zero Referrals,Nulle ieteikumu,Yes
I18N_ZERO_REFERREALS_PER_WEEK,I18NCode for ZEROReferrals,Zero referrals per Week,Nulle ieteikumu nedēļā,Yes
I18N_ZERO_TO_ONE,I18NCode for Zero To One´s Section in Region Retention Growth,Zero-to-Ones,Nulle pret vienu,Yes
I18N_ZERO_TYFCB_PER_WEEK,I18NCode for Zero TYFCB per Week,Zero TYFCB per week,Nulle TYFCB nedēļā,Yes
I18N_ZERO_VISITS_PER_WEEK,I18NCode for ZeroVisits per Week,Zero visitors per month,Nulle apmeklētāju mēnesī,Yes
I18N_ZEROOTO_W,I18NCode for ZeroOTO/week,ZeroOTO/W,ZeroOTO/W,Yes
I18N_ZEROTYFCB_W,I18NCode for ZeroTYFCB/week,ZeroTYFCB/W,ZeroTYFCB/W,Yes
I18N_ZEROVIS_M,I18NCode for ZeroVIS/month,ZeroVIS/M,ZeroVIS/M,Yes
I18N_ZIP_CODE,I18NCode for Zip Code,Zip Code,Pasta indekss,Yes
