Code,Description,Default_Translation (en-en),Target_Translation (nl-nl),Has_Translation
I18N_WEEKLY_ALERT_REPORTS_SETTINGS,I18NCode for Weekly Alert Reports Settings,Weekly Alert Reports Settings,Instellingen voor wekelijkse waarschuwingsrapporten,Yes
I18N_WEEKS,I18NCode for Weeks,Weeks,Weken,Yes
I18N_WELCOME,Welcome message,Welcome,Welkom,Yes
I18N_WELCOME_TO_REPORTING2YOU_,I18NCode for Welcome to Reporting2You!,Welcome to Reporting2You,Welkom bij Reporting2You,Yes
I18N_WELCOME_TO_THE_MESSAGING_CHAT,I18NCode for Welcome to the messaging chat,Welcome to the Messaging Chat,Welkom bij de berichtenchat,Yes
I18N_WHAT_AREY_OUR_RIGHTS,I18NCode for What are your rights,What are your rights?,Wat zijn uw rechten?,Yes
I18N_WHAT_INFORMATION_DO_WE_COLLECT_ABOUT_YOU,I18NCode for What information do we collect about you,What information do we collect about you?,Welke informatie verzamelen wij over u?,Yes
I18N_WHAT_IS_A_COOKIE,I18NCode for What is a Cookie,What is a Cookie?,Wat is een koekje?,Yes
I18N_WHAT_IS_OUR_LEGAL_BASIS_FOR_PROCESSING_YOUR_PERSONAL_DATA,I18NCode for What is our legal basis for processing your personal data,What is our legal basis for processing your personal data?,Wat is onze wettelijke basis voor de verwerking van uw persoonsgegevens?,Yes
I18N_WHO_ARE_WE,I18NCode for Who are we,Who we are?,Wie zijn wij?,Yes
I18N_WHO_RECEIVES_YOUR_INFORMATION,I18NCode for Who receives your information,Who receives your information?,Wie ontvangt uw gegevens?,Yes
I18N_WITH_LESS_THAN,"I18NCode for ""With Less than""",With Less than,Met Minder dan,Yes
I18N_WITH_THIS_MEMBERSHIP_LENGTH,I18NCode for With this Membership length,with this membership length,met deze lidmaatschapsduur,Yes
I18N_WITHOUT,I18NCode for Without,Without,Zonder,Yes
I18N_WITHOUT_PAYMENT,I18NCode for Without Payment,Without Payment,Zonder betaling,Yes
I18N_WORLD_RANK,I18NCode for World Rank ,World Rank,Wereldranglijst,Yes
I18N_WRITE_A_MESSAGE,I18NCode for Write a message,Write a message,Schrijf een bericht,Yes
I18N_WRITE_THE_MESSAGE_TO_SEND_TO_EVERYONE,I18NCode for Write the message to send to everyone,Write the message to send to everyone,Schrijf het bericht dat u naar iedereen wilt verzenden,Yes
I18N_WRONG_FILE_SELECTED,I18NCode for Wrong File Selected,Error selecting file.,Fout bij selecteren van bestand.,Yes
I18N_YEAR,I18NCode for Year,Year,Jaar,Yes
I18N_YEARMONTH,I18NCode for YearMonth,YearMonth,JaarMaand,Yes
I18N_YEARS,I18NCode for Years,Years,Jaren,Yes
I18N_YES,I18NCode for Yes,Yes,Ja,Yes
I18N_YLW,I18NCode for #Ylw on table label,#Ylw,#Ylw,Yes
I18N_YOU_HAVE_BEEN_INVITED_TO_REGISTER_WITH_REPORTING2YOU_,I18NCode for You have been invited to register with Reporting2You.,You have been invited to register with Reporting2You.,U bent uitgenodigd om u te registreren bij Reporting2You.,Yes
I18N_YOU_HAVE_NO_SPONSORED,I18NCode for You have no sponsored,You have no sponsored,Je hebt geen sponsoring,Yes
I18N_YOU_WILL_BE_REDIRECTED_TO_THE_LOGIN_PAGE_IN,I18NCode for You will be redirected to the login page in,You will be redirected to the login page in,Je hebt geen sponsoring,Yes
I18N_YOUR_CHAPTER,i18NCode for Your Chapter,Your Chapter,Jouw hoofdstuk,Yes
I18N_YOUR_GOAL,I18NCode represent % of your goal,% of goal,% van doel,Yes
I18N_YOUR_SESSION_WILL_BE_INACTIVE_IN,I18NCode for Your session will be inactive in,Your session will be inactive in,Uw sessie zal inactief zijn over,Yes
I18N_ZERO_ONE_TO_ONES_PER_WEEK,I18NCode for ZeroOneToOne per Week,Zero one to ones per week,Nul één op één per week,Yes
I18N_ZERO_REFERRALS,I18NCode for Zero Referrals,Zero Referrals,Geen verwijzingen,Yes
I18N_ZERO_REFERREALS_PER_WEEK,I18NCode for ZEROReferrals,Zero referrals per Week,Nul verwijzingen per week,Yes
I18N_ZERO_TO_ONE,I18NCode for Zero To One´s Section in Region Retention Growth,Zero-to-Ones,Nul-op-één,Yes
I18N_ZERO_TYFCB_PER_WEEK,I18NCode for Zero TYFCB per Week,Zero TYFCB per week,Nul TYFCB per week,Yes
I18N_ZERO_VISITS_PER_WEEK,I18NCode for ZeroVisits per Week,Zero visitors per month,Nul bezoekers per maand,Yes
I18N_ZEROOTO_W,I18NCode for ZeroOTO/week,ZeroOTO/W,NulOTO/W,Yes
I18N_ZEROTYFCB_W,I18NCode for ZeroTYFCB/week,ZeroTYFCB/W,NulTYFCB/W,Yes
I18N_ZEROVIS_M,I18NCode for ZeroVIS/month,ZeroVIS/M,ZeroVIS/M,Yes
I18N_ZIP_CODE,I18NCode for Zip Code,Zip Code,Postcode,Yes
